date,wdir,wspd,pres
2016-01-30,207,13.7,
2016-01-31,1,23.3,1001.7
2016-02-01,194,14.1,1005.5
2016-02-02,335,15.6,1003.2
2016-02-03,203,23.8,1009.6
2016-02-04,180,25.3,1018.4
2016-02-05,194,14.9,1017.6
2016-02-06,31,14.7,977.2
2016-02-07,200,18.2,1016.5
2016-02-08,193,16.8,1021.5
2016-02-09,173,15.7,1019.5
2016-02-10,200,14.1,977.2
2016-02-11,160,18.5,1016.1
2016-02-12,178,12.7,976.1
2016-02-13,215,20.6,1008
2016-02-14,214,20.6,1011.4
2016-02-15,251,18.3,1011.7
2016-02-16,207,26.8,1015.8
2016-02-17,207,26.9,1014.4
2016-02-18,198,14.8,1011
2016-02-19,213,15.8,1013.6
2016-02-20,184,19.5,1021.6
2016-02-21,216,12.8,1022.9
2016-02-22,355,12.4,1021
2016-02-23,356,27.4,1011.8
2016-02-24,218,17.2,1010.4
2016-02-25,210,15.4,1010.4
2016-02-26,220,18,1018.7
2016-02-27,184,16,982.1
2016-02-28,182,16.9,1020.4
2016-02-29,178,16.8,1020.2
2016-03-01,336,16.2,1016.3
2016-03-02,186,17.8,1016.2
2016-03-03,177,14.9,1019.9
2016-03-04,322,16.7,1015.8
2016-03-05,200,13.8,1019.1
2016-03-06,198,12.6,1019.3
2016-03-07,204,14.9,
2016-03-08,354,18.5,1016.5
2016-03-09,164,24.5,1015.9
2016-03-10,180,10.6,1019.4
2016-03-11,201,10.4,1016.8
2016-03-12,192,11.2,
2016-03-13,181,12.9,1019.7
2016-03-14,194,19.3,1020.3
2016-03-15,173,14.9,1018.8
2016-03-16,9,12.6,1016.1
2016-03-17,2,31.7,1008.2
2016-03-18,268,33.2,1001.1
2016-03-19,217,22.2,
2016-03-20,152,13.5,1019.5
2016-03-21,219,15.8,
2016-03-22,304,10.9,1017.8
2016-03-23,300,17.6,1016.3
2016-03-24,179,10.6,1019.6
2016-03-25,220,13.4,1019.5
2016-03-26,229,13,1019.9
2016-03-27,186,17.8,1021
2016-03-28,160,18.7,
2016-03-29,158,22.4,1020
2016-03-30,191,16.7,
2016-03-31,316,11,
2016-04-01,355,27.2,
2016-04-02,229,21.6,1018.1
2016-04-03,203,14.6,
2016-04-04,231,10.5,
2016-04-05,4,21.9,1011.8
2016-04-06,251,12.8,1017
2016-04-07,248,11.7,1023.5
2016-04-08,317,10.5,1022.6
2016-04-09,313,15.5,1020.7
2016-04-10,287,19.2,1018.8
2016-04-11,213,18.3,1021.5
2016-04-12,209,16.5,1024.5
2016-04-13,169,12.3,1026.6
2016-04-14,326,14.5,1024.5
2016-04-15,330,17.6,1020.8
2016-04-16,214,15.1,1022
2016-04-17,172,16.6,1022.7
2016-04-18,356,17.7,1018.2
2016-04-19,353,22.2,1018.4
2016-04-20,1,25.3,1019.7
2016-04-21,304,21.7,1019.5
2016-04-22,192,20.9,1026.7
2016-04-23,206,13,1029.5
2016-04-24,8,9.9,1029.9
2016-04-25,5,20.9,1028.1
2016-04-26,13,18.9,
2016-04-27,7,31.4,1018.3
2016-04-28,7,21,1016.8
2016-04-29,3,24.2,1014.2
2016-04-30,4,28.2,
2016-05-01,315,29.9,1009.8
2016-05-02,355,28.6,1010.9
2016-05-03,336,33.1,1004.1
2016-05-04,339,19.5,1014.6
2016-05-05,9,29.4,1014.6
2016-05-06,353,29.3,1014.8
2016-05-07,3,25.1,1015.3
2016-05-08,21,18.5,1007.3
2016-05-09,11,36,995.7
2016-05-10,281,33.4,1005.6
2016-05-11,310,24.4,1011.7
2016-05-12,305,25,1013.4
2016-05-13,336,21.1,1019.9
2016-05-14,2,28.6,1017.6
2016-05-15,307,21.3,1015.2
2016-05-16,0,29.7,1014.7
2016-05-17,297,17.7,1016.6
2016-05-18,339,19.3,1016.4
2016-05-19,320,24,1014.1
2016-05-20,,,
2016-05-21,3,23.1,1022.5
2016-05-22,10,33.5,1014.1
2016-05-23,288,23.9,1016.5
2016-05-24,286,16.7,1019.5
2016-05-25,1,31.5,1011.2
2016-05-26,304,24.4,1004.8
2016-05-27,281,14.4,1007.2
2016-05-28,244,14.4,1012.3
2016-05-29,264,17.3,1020.4
2016-05-30,16,13,1026.2
2016-05-31,11,13.2,1028.4
2016-06-01,355,10.7,1027.3
2016-06-02,301,11.5,1026.2
2016-06-03,,5,1023.1
2016-06-04,,6.6,1013.3
2016-06-05,346,8.2,1004
2016-06-06,357,20.5,1001.5
2016-06-07,299,16.6,1002.6
2016-06-08,0,29.3,1004.7
2016-06-09,319,22.3,1004.3
2016-06-10,317,19.8,1017.1
2016-06-11,277,20.5,1026.2
2016-06-12,311,11.2,1036.1
2016-06-13,2,27.8,1034.3
2016-06-14,359,25.3,1033.6
2016-06-15,356,18.6,1029.6
2016-06-16,6,32,1017.4
2016-06-17,347,15.7,1012.1
2016-06-18,181,13.8,1019.8
2016-06-19,253,8.8,1015.5
2016-06-20,197,20.9,1004.7
2016-06-21,341,24.2,999.2
2016-06-22,320,22.7,1003.9
2016-06-23,349,30.1,1000.8
2016-06-24,289,24.5,1007.6
2016-06-25,270,13.6,1021.6
2016-06-26,358,21.4,1018.5
2016-06-27,356,18.8,1017.9
2016-06-28,347,23.4,1023.7
2016-06-29,0,25.3,1023
2016-06-30,0,33.2,1010.1
2016-07-01,275,20.3,1019.3
2016-07-02,325,18.5,1024.5
2016-07-03,348,24.4,1022
2016-07-04,10,20.8,1015.6
2016-07-05,202,15,1012.3
2016-07-06,188,26.1,1018.2
2016-07-07,190,12.1,1021.5
2016-07-08,334,7.9,982.8
2016-07-09,22,9,1023.4
2016-07-10,10,31.8,1015.1
2016-07-11,357,34.3,1002.5
2016-07-12,331,33.8,999.7
2016-07-13,282,29.9,1017.9
2016-07-14,326,19.3,1028.1
2016-07-15,300,13.6,1031
2016-07-16,343,8.3,1031.1
2016-07-17,6,29.6,1024.8
2016-07-18,356,30.7,1018.8
2016-07-19,331,9.9,1021.2
2016-07-20,313,6.5,1021.6
2016-07-21,6,24.3,970.8
2016-07-22,333,30,996.4
2016-07-23,277,26.6,1006.4
2016-07-24,357,27.8,1007.9
2016-07-25,334,27.4,1006.6
2016-07-26,346,26.2,1009.5
2016-07-27,286,21.8,1015.3
2016-07-28,337,18.5,1023
2016-07-29,347,21,1021
2016-07-30,1,32.1,1017.6
2016-07-31,0,24.5,1014.6
2016-08-01,348,25.8,1011.6
2016-08-02,204,18,1020.8
2016-08-03,206,15.8,1026.6
2016-08-04,227,12.3,1030.1
2016-08-05,342,11.1,1030.6
2016-08-06,22,9.1,1027.6
2016-08-07,15,11.5,1025.6
2016-08-08,5,31.6,1020.8
2016-08-09,2,49.8,1010.2
2016-08-10,341,27.2,1009.7
2016-08-11,322,20,1018.8
2016-08-12,358,27.2,1018.9
2016-08-13,348,21.7,1021.1
2016-08-14,331,14.8,1027
2016-08-15,3,21,1028.7
2016-08-16,5,27.5,1022.8
2016-08-17,234,15.5,1021.6
2016-08-18,7,34,1014.6
2016-08-19,358,27.4,1007.4
2016-08-20,321,22,1012
2016-08-21,349,17.4,1014
2016-08-22,1,16.7,1013.8
2016-08-23,220,9.8,1016.8
2016-08-24,224,11,
2016-08-25,243,17.1,
2016-08-26,287,15.3,1021.1
2016-08-27,347,20.3,1020.4
2016-08-28,359,26.6,1019.9
2016-08-29,9,25.2,1022.4
2016-08-30,14,26.7,1016.9
2016-08-31,319,20.4,1013.6
2016-09-01,237,7.9,1016.5
2016-09-02,184,13.4,1010
2016-09-03,244,17.3,1009.1
2016-09-04,298,17,1023
2016-09-05,343,11.7,1028.3
2016-09-06,331,15.9,1028.5
2016-09-07,357,20.8,1026.4
2016-09-08,10,36.8,1018.1
2016-09-09,356,23.5,1009.9
2016-09-10,213,17.1,1016.3
2016-09-11,346,15.8,1018.4
2016-09-12,232,9.6,1020.5
2016-09-13,88,9.8,1016.2
2016-09-14,21,23.6,1004.6
2016-09-15,275,21.7,1008.4
2016-09-16,309,14,1016.8
2016-09-17,4,30.7,1015.3
2016-09-18,231,17.5,1011.2
2016-09-19,283,13.1,1012.5
2016-09-20,7,24,1013.2
2016-09-21,175,14,1010.8
2016-09-22,208,21.4,1016.9
2016-09-23,258,7.1,1013.9
2016-09-24,1,23.4,1007.7
2016-09-25,240,16,1011.2
2016-09-26,333,12.6,1011
2016-09-27,297,15.8,1011.5
2016-09-28,9,29.6,1005.6
2016-09-29,15,27.7,988.9
2016-09-30,324,14.6,992.9
2016-10-01,311,22.3,1003.3
2016-10-02,5,47.2,999.6
2016-10-03,327,25.6,996.4
2016-10-04,309,32.1,1002.3
2016-10-05,328,23.9,1013.6
2016-10-06,342,27.2,1015.3
2016-10-07,3,29.1,1013.8
2016-10-08,199,13.3,1020.1
2016-10-09,359,43.5,1007.1
2016-10-10,292,22.9,1009.1
2016-10-11,258,22.5,1016.3
2016-10-12,241,20.3,1018.5
2016-10-13,204,13.3,1024.9
2016-10-14,360,15.5,1022.3
2016-10-15,3,36.3,1012.2
2016-10-16,341,34,1002.2
2016-10-17,293,20.5,1007.5
2016-10-18,296,20.5,1010.4
2016-10-19,317,13.4,1019.3
2016-10-20,5,38,1015.4
2016-10-21,311,31.3,1012
2016-10-22,226,26.3,1019.7
2016-10-23,210,20.4,1024.9
2016-10-24,212,10.6,1019.8
2016-10-25,356,32.4,1011.6
2016-10-26,252,17.8,1012.1
2016-10-27,204,18.4,1019.9
2016-10-28,209,12.3,1019
2016-10-29,354,13.9,1014
2016-10-30,325,34.9,1001.5
2016-10-31,285,25,1011.9
2016-11-01,301,20.3,1011.4
2016-11-02,267,15.7,1015.6
2016-11-03,277,12.3,1017.6
2016-11-04,326,29.9,1008.1
2016-11-05,246,30.5,1010.4
2016-11-06,272,23.2,1009.9
2016-11-07,338,29.9,1004
2016-11-08,188,16.5,1010.8
2016-11-09,181,16.1,1012.4
2016-11-10,198,13.2,1011.9
2016-11-11,201,13.4,1009.2
2016-11-12,341,22.9,997.6
2016-11-13,314,25.1,995.5
2016-11-14,211,28.5,1011.3
2016-11-15,228,18.4,1019.1
2016-11-16,207,12.9,1022.3
2016-11-17,356,24.7,1016.3
2016-11-18,180,14.2,1016.3
2016-11-19,184,10.9,1019.4
2016-11-20,4,14.4,1015.2
2016-11-21,352,32.3,1009.1
2016-11-22,169,12.2,1014.6
2016-11-23,187,17.6,1016
2016-11-24,225,19.5,979.3
2016-11-25,218,20.7,1018.4
2016-11-26,209,20.5,1020.4
2016-11-27,187,15.3,1018.8
2016-11-28,167,11.4,1014.6
2016-11-29,174,13.6,1012
2016-11-30,209,15.1,1009.4
2016-12-01,186,10.8,1007.4
2016-12-02,214,15.6,1011.8
2016-12-03,197,11.6,1014.5
2016-12-04,354,22.3,1008.2
2016-12-05,200,25.2,1010.2
2016-12-06,171,12.8,1013.6
2016-12-07,4,12.8,1011.7
2016-12-08,315,39.1,1000.5
2016-12-09,212,24.6,1016.4
2016-12-10,193,15.8,1022.6
2016-12-11,177,15.3,1022.5
2016-12-12,343,15.5,1016.8
2016-12-13,345,27.7,1007
2016-12-14,194,25.6,1012.4
2016-12-15,181,21.3,1017.3
2016-12-16,327,17.8,1009
2016-12-17,246,25.6,1010.6
2016-12-18,195,19.7,1020.6
2016-12-19,350,24.5,1011.5
2016-12-20,217,20.6,1007.5
2016-12-21,209,20.8,1016.6
2016-12-22,169,18.8,1018.5
2016-12-23,228,15.5,1012.5
2016-12-24,353,18.4,1010.2
2016-12-25,10,20.5,1010.6
2016-12-26,202,24.1,1009
2016-12-27,72,11.7,1010
2016-12-28,2,31.5,1001.3
2016-12-29,8,23.4,1002
2016-12-30,201,15.8,1000.9
2016-12-31,195,14.9,1005.5
2017-01-01,181,15.5,1007.6
2017-01-02,199,23.1,1017
2017-01-03,182,17.6,1020.1
2017-01-04,232,15.3,1016.3
2017-01-05,294,18,1014.8
2017-01-06,175,10.7,1014.2
2017-01-07,5,21.7,1009.8
2017-01-08,86,26.9,1006.8
2017-01-09,170,12.4,1011.4
2017-01-10,215,14.9,1010.4
2017-01-11,204,17.7,1011.1
2017-01-12,201,11.8,1010.3
2017-01-13,328,19.2,1000.1
2017-01-14,255,23.9,1009.9
2017-01-15,201,15.5,1017.5
2017-01-16,360,8,1013.1
2017-01-17,318,22.1,1007.3
2017-01-18,182,24.2,1013.7
2017-01-19,177,13.3,1009.9
2017-01-20,223,26.1,1001.6
2017-01-21,186,17.8,1014.1
2017-01-22,179,11.4,1013.4
2017-01-23,345,18.8,1005
2017-01-24,203,26.2,1013.1
2017-01-25,177,16.7,1019.3
2017-01-26,182,18.5,1018.5
2017-01-27,159,13.8,1015.5
2017-01-28,233,16.9,1013.9
2017-01-29,159,11.2,1014.8
2017-01-30,333,23.7,1006.9
2017-01-31,191,20.5,1013.8
2017-02-01,151,11.2,1014.3
2017-02-02,235,16.8,1015.2
2017-02-03,251,11.1,1014.2
2017-02-04,320,16.8,1009.5
2017-02-05,335,19.1,1007
2017-02-06,165,20.5,1015.5
2017-02-07,175,17.2,1019.4
2017-02-08,0,24.9,1015.4
2017-02-09,339,38.8,1009.9
2017-02-10,190,9.9,1010
2017-02-11,188,13.2,1007.9
2017-02-12,227,24.5,1008.6
2017-02-13,224,23,1013.3
2017-02-14,194,16.6,1018.1
2017-02-15,346,23.3,1010.6
2017-02-16,171,15.8,1009.7
2017-02-17,241,14.9,1008.8
2017-02-18,215,15.9,1010.7
2017-02-19,287,21.4,1009.8
2017-02-20,241,24.3,1013.5
2017-02-21,275,12.9,1019
2017-02-22,357,27.3,1012.5
2017-02-23,195,15.1,1017.2
2017-02-24,183,22.5,1024
2017-02-25,171,21.8,1022.9
2017-02-26,142,12.2,1019.8
2017-02-27,16,17.3,1020.8
2017-02-28,39,19.5,1020.4
2017-03-01,2,14.9,1019.7
2017-03-02,195,13,1019.5
2017-03-03,179,20.7,1020.4
2017-03-04,242,13.4,1016
2017-03-05,196,21,1014.9
2017-03-06,161,24.1,1016.3
2017-03-07,186,12.2,1017.7
2017-03-08,20,15.2,1016.5
2017-03-09,30,15.5,1015.4
2017-03-10,215,11.1,1015.8
2017-03-11,179,10.7,1011.1
2017-03-12,358,17.3,1003.2
2017-03-13,222,15.4,1013.3
2017-03-14,73,14,1017
2017-03-15,2,26.4,1013.3
2017-03-16,258,26.2,1011.5
2017-03-17,187,23.3,1022.8
2017-03-18,70,12.8,1023.1
2017-03-19,6,17.8,1017.4
2017-03-20,253,13.7,1014.7
2017-03-21,287,12.6,1011.6
2017-03-22,181,25.9,1015.7
2017-03-23,165,16.8,1019.3
2017-03-24,297,9.1,1017.5
2017-03-25,348,20.7,1012.3
2017-03-26,191,8.4,1013.3
2017-03-27,337,31.2,
2017-03-28,339,10.9,1012.8
2017-03-29,329,25.7,
2017-03-30,238,19.4,
2017-03-31,232,11.9,1020.3
2017-04-01,241,20.2,
2017-04-02,175,19.5,1029.1
2017-04-03,215,10.9,1029.6
2017-04-04,39,12.7,
2017-04-05,8,18.3,
2017-04-06,0,20.5,
2017-04-07,358,24.4,1021.9
2017-04-08,356,31.8,1015.8
2017-04-09,308,25.7,1005.7
2017-04-10,223,30.8,1015.6
2017-04-11,201,18.5,1023.4
2017-04-12,232,10.8,1024.7
2017-04-13,274,10.7,1022.9
2017-04-14,222,12.9,1023.2
2017-04-15,234,8.9,1020.9
2017-04-16,316,12.4,1019.5
2017-04-17,230,8.5,1022.6
2017-04-18,,9,1025.8
2017-04-19,351,18.5,1025.8
2017-04-20,16,25.2,1023.5
2017-04-21,16,27.6,1020.3
2017-04-22,355,23.7,1022.3
2017-04-23,284,10.9,1023.3
2017-04-24,,9.8,1017.2
2017-04-25,308,16.6,1007.2
2017-04-26,237,24.5,1011.8
2017-04-27,246,15.5,1022.1
2017-04-28,281,14.4,1022.8
2017-04-29,238,13.8,1022.3
2017-04-30,325,12.2,1021.3
2017-05-01,340,19.8,1015.3
2017-05-02,259,18.9,1020.9
2017-05-03,214,10.2,1029.3
2017-05-04,348,10.5,1030.1
2017-05-05,2,18.2,1025.7
2017-05-06,321,21.4,1020.1
2017-05-07,245,20.5,1028.1
2017-05-08,219,16.4,1030.5
2017-05-09,214,11.3,1028.4
2017-05-10,12,8.5,986.9
2017-05-11,346,10.6,1025
2017-05-12,333,16.1,1024.2
2017-05-13,239,8.6,1024.4
2017-05-14,231,9.4,1022.7
2017-05-15,233,8.6,1020
2017-05-16,19,12.4,1018.1
2017-05-17,33,15.7,1019.4
2017-05-18,1,8.6,1022.2
2017-05-19,21,11.4,1018.7
2017-05-20,6,20.1,1016.8
2017-05-21,357,21.3,1019.4
2017-05-22,5,27.7,1019.7
2017-05-23,357,27.8,1015.6
2017-05-24,313,17.8,1016.1
2017-05-25,344,17,1019.6
2017-05-26,319,14.2,1020.4
2017-05-27,5,29.5,1014.3
2017-05-28,300,20.9,1008.9
2017-05-29,314,19,1018.4
2017-05-30,269,23.8,1022.9
2017-05-31,235,18.7,1032.5
2017-06-01,239,10.1,1036.2
2017-06-02,241,9.9,1035.5
2017-06-03,296,8.1,1032.3
2017-06-04,353,11.6,1027.9
2017-06-05,324,18.5,1023.3
2017-06-06,217,20.7,1026.2
2017-06-07,,10.5,1028.9
2017-06-08,308,12.5,1028
2017-06-09,217,11.6,1032.2
2017-06-10,,5.6,1033
2017-06-11,334,15.2,1027.5
2017-06-12,293,16.9,1026.7
2017-06-13,305,8.4,1030.5
2017-06-14,341,13.8,1028.4
2017-06-15,1,19.2,1026.3
2017-06-16,5,11.8,1024.8
2017-06-17,351,11.7,1025.1
2017-06-18,349,8.5,1028.9
2017-06-19,332,12.9,1030.4
2017-06-20,359,24.2,1026.6
2017-06-21,,12.1,1027.7
2017-06-22,358,16.3,1025.7
2017-06-23,355,23.3,1016.5
2017-06-24,279,13.3,1017.3
2017-06-25,330,18.2,1016.9
2017-06-26,,9,1023
2017-06-27,4,16.2,1024.4
2017-06-28,354,17.5,1022.6
2017-06-29,291,20.8,1022.6
2017-06-30,231,12.7,1029.6
2017-07-01,3,19.9,
2017-07-02,4,26.4,1022.2
2017-07-03,5,24.8,1010.5
2017-07-04,347,21.8,1007.4
2017-07-05,303,16,1012.1
2017-07-06,347,20.8,1014.8
2017-07-07,353,24.4,1009.9
2017-07-08,344,23.7,1013.7
2017-07-09,339,21.9,1017.6
2017-07-10,334,20.5,1024.6
2017-07-11,339,8.7,1032.1
2017-07-12,7,19.3,1031.3
2017-07-13,7,42.2,1019.8
2017-07-14,327,28,1013.4
2017-07-15,317,13.8,1019.6
2017-07-16,6,32.7,1018.4
2017-07-17,1,40.1,1010.7
2017-07-18,347,21.9,1006.8
2017-07-19,238,24.1,1013
2017-07-20,245,23.6,1018.8
2017-07-21,6,12.9,1022.5
2017-07-22,4,37.4,1017.1
